device_id,received_at,mcu_temp,temp,pH,do,snr,rssi,spreading_factor
buoy-node,2021-11-27T18:26:59.955592249Z,41.713,32.348,6.356,15.37,-7.2,-109,7
buoy-node,2021-11-27T18:37:19.456474120Z,40.716,32.861,7.602,15.65,5,-99,7
buoy-node,2021-11-27T18:47:38.641368587Z,39.72,32.888,7.478,15.87,-2.5,-102,7
buoy-node,2021-11-27T18:57:57.937811127Z,40.384,32.833,7.334,15.98,3.5,-100,7
buoy-node,2021-11-27T19:08:17.252891123Z,39.72,33.002,7.373,16.05,2,-100,7
buoy-node,2021-11-27T19:18:36.297766358Z,40.052,33.05,7.278,16.1,4,-96,7
buoy-node,2021-11-27T19:28:55.759954618Z,40.384,33.071,7.068,15.92,4,-100,7
buoy-node,2021-11-27T19:39:15.048442265Z,40.716,33.36,7.286,15.95,3.5,-102,7
buoy-node,2021-11-27T19:49:34.509910584Z,40.052,33.342,7.218,15.91,-0.2,-102,7
buoy-node,2021-11-27T19:59:53.838621421Z,40.716,33.241,7.172,15.85,3.5,-102,7
buoy-node,2021-11-27T20:10:13.312329265Z,40.384,33.506,7.282,15.83,2,-103,7
buoy-node,2021-11-27T20:20:32.858923123Z,41.381,33.446,7.259,15.84,1.8,-100,7
buoy-node,2021-11-27T20:30:52.574681098Z,41.381,33.53,7.427,15.98,1,-104,7
buoy-node,2021-11-27T20:41:12.230817597Z,41.381,33.527,7.417,16.05,7,-97,7
buoy-node,2021-11-27T20:51:32.005861709Z,41.713,33.589,7.801,16.25,3.8,-100,7
buoy-node,2021-11-27T21:01:51.774113777Z,41.381,33.61,7.908,16.51,5,-101,7
buoy-node,2021-11-27T21:12:11.392699251Z,41.049,33.596,8.058,16.78,6.5,-100,7
buoy-node,2021-11-27T21:22:31.067327766Z,41.381,33.649,8.128,16.94,4.8,-100,7
buoy-node,2021-11-27T21:32:50.693995268Z,41.713,33.622,8.078,17.11,6.5,-101,7
buoy-node,2021-11-27T21:43:10.267835875Z,41.049,33.635,8.096,17.26,3.5,-103,7
buoy-node,2021-11-27T21:53:29.735697347Z,40.384,33.69,8.212,17.4,6,-103,7
buoy-node,2021-11-27T22:03:49.245650297Z,40.384,33.64,8.243,17.49,3.2,-101,7
buoy-node,2021-11-27T22:14:08.539308519Z,39.056,55.353,8.349,17.58,-1.5,-108,7
buoy-node,2021-11-27T22:24:27.752490464Z,38.392,33.676,8.415,17.67,5.2,-101,7
buoy-node,2021-11-27T22:34:46.300919753Z,36.067,33.696,8.55,17.7,-4.2,-107,7
buoy-node,2021-11-27T22:45:04.227374848Z,33.743,33.6,8.553,17.71,0.8,-106,7
buoy-node,2021-11-27T22:55:21.924619639Z,32.747,55.353,8.446,17.62,4,-103,7
buoy-node,2021-11-27T23:05:39.249400624Z,32.083,55.353,8.359,17.38,1.5,-106,7
buoy-node,2021-11-27T23:15:56.474206791Z,31.75,55.353,8.194,17.24,1.5,-103,7
buoy-node,2021-11-27T23:26:13.564070838Z,31.75,55.353,7.943,17.17,5,-97,7
buoy-node,2021-11-27T23:36:30.643480538Z,31.086,33.61,7.798,17.06,5,-98,7
buoy-node,2021-11-27T23:46:47.588993642Z,30.754,55.353,7.697,16.19,1,-101,7
buoy-node,2021-11-27T23:57:04.499668690Z,30.422,33.589,7.608,16.1,4.2,-102,7
buoy-node,2021-11-28T00:07:21.409213226Z,30.09,33.51,7.536,15.95,7,-95,7
buoy-node,2021-11-28T00:17:38.219498871Z,30.09,33.409,7.452,15.74,7.2,-94,7
buoy-node,2021-11-28T00:38:11.647899954Z,30.09,55.353,7.333,15.22,7.5,-96,7
buoy-node,2021-11-28T00:48:28.505255090Z,29.758,55.353,7.295,14.91,6,-95,7
buoy-node,2021-11-28T00:58:45.232889565Z,29.758,55.353,7.246,14.58,6.2,-97,7
buoy-node,2021-11-28T01:09:01.850965431Z,29.426,55.353,7.207,14.23,5.2,-97,7
buoy-node,2021-11-28T01:19:18.437815898Z,29.426,33.235,7.215,13.88,7.5,-96,7
buoy-node,2021-11-28T01:29:35.390973456Z,29.426,55.353,7.174,13.57,7,-96,7
buoy-node,2021-11-28T01:39:51.658651610Z,29.426,33.164,7.138,13.23,6.5,-94,7
buoy-node,2021-11-28T01:50:08.279991447Z,29.094,55.353,7.149,12.87,6.2,-96,7
buoy-node,2021-11-28T02:00:24.915401130Z,29.094,33.115,7.11,12.45,9,-96,7
buoy-node,2021-11-28T02:10:41.216713632Z,29.094,33.083,7.094,12.01,5.2,-96,7
buoy-node,2021-11-28T02:20:57.763936871Z,29.094,33.016,7.061,11.57,8,-94,7
buoy-node,2021-11-28T02:31:14.183296449Z,29.094,32.929,7.013,11.14,8.5,-95,7
buoy-node,2021-11-28T02:41:30.642130060Z,29.094,32.886,6.999,10.74,6.8,-96,7
buoy-node,2021-11-28T02:51:47.137418715Z,28.762,32.827,6.976,10.34,9,-95,7
buoy-node,2021-11-28T03:02:03.555518504Z,29.094,32.773,6.91,9.97,6.5,-94,7
buoy-node,2021-11-28T03:12:19.985834914Z,28.762,55.353,6.855,9.56,8,-96,7
buoy-node,2021-11-28T03:22:36.453700386Z,28.43,32.681,6.812,9.15,2,-100,7
